values,dotall,ignorecase,keys
NAVY-MARINE CORPS COURT OF CRIMINAL APPEALS,TRUE,TRUE,NAVY-MARINE CORPS COURT OF CRIMINAL APPEALS
NUCLEAR REGULATORY COMMISSION,TRUE,TRUE,NUCLEAR REGULATORY COMMISSION
OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,TRUE,TRUE,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION
OFFICE OF DISPUTE RESOLUTION FOR ACQUISITION,TRUE,TRUE,OFFICE OF DISPUTE RESOLUTION FOR ACQUISITION
OFFICE OF FINANCIAL INSTITUTION ADJUDICATION,TRUE,TRUE,OFFICE OF FINANCIAL INSTITUTION ADJUDICATION
PATENT AND TRADEMARK OFFICE,TRUE,TRUE,PATENT AND TRADEMARK OFFICE
PATENT TRIAL AND APPEAL BOARD,TRUE,TRUE,PATENT TRIAL AND APPEAL BOARD
POSTAL SERVICE,TRUE,TRUE,POSTAL SERVICE
POSTAL SERVICE BOARD OF CONTRACT APPEALS,TRUE,TRUE,POSTAL SERVICE BOARD OF CONTRACT APPEALS
SECURITIES AND EXCHANGE COMMISSION,TRUE,TRUE,SECURITIES AND EXCHANGE COMMISSION
SMALL BUSINESS ADMINISTRATION,TRUE,TRUE,SMALL BUSINESS ADMINISTRATION
SOCIAL SECURITY ADMINISTRATION,TRUE,TRUE,SOCIAL SECURITY ADMINISTRATION
TRADEMARK TRIAL AND APPEAL BOARD,TRUE,TRUE,TRADEMARK TRIAL AND APPEAL BOARD
TVA BOARD OF CONTRACT APPEALS,TRUE,TRUE,TVA BOARD OF CONTRACT APPEALS
COURT OF APPEALS FOR THE ARMED FORCES,TRUE,TRUE,UNITED STATES COURT OF APPEALS FOR THE ARMED FORCES
COURT OF APPEALS FOR VETERANS CLAIMS,TRUE,TRUE,UNITED STATES COURT OF APPEALS FOR VETERANS CLAIMS
COURT OF FEDERAL CLAIMS,TRUE,TRUE,UNITED STATES COURT OF FEDERAL CLAIMS
COURT OF MILITARY COMMISSION REVIEW,TRUE,TRUE,UNITED STATES COURT OF MILITARY COMMISSION REVIEW
UNITED STATES COURTS-MARTIAL,TRUE,TRUE,UNITED STATES COURTS-MARTIAL
INTERNATIONAL TRADE COMMISSION,TRUE,TRUE,UNITED STATES INTERNATIONAL TRADE COMMISSION
MERIT SYSTEMS PROTECTION BOARD,TRUE,TRUE,UNITED STATES MERIT SYSTEMS PROTECTION BOARD
TAX COURT,TRUE,TRUE,UNITED STATES TAX COURT
INTERNAL REVENUE,TRUE,TRUE,INTERNAL REVENUE SERVICE
CENTRAL INTELLIGENCE AGENCY,TRUE,TRUE,CENTRAL INTELLIGENCE AGENCY
UNITED STATES CUSTOMS SERVICE,TRUE,TRUE,UNITED STATES CUSTOMS SERVICE
POSTAL SERVICE,TRUE,TRUE,UNITED STATES POSTAL SERVICE
"BUREAU OF ALCOHOL, TOBACCO AND FIREARMS",TRUE,TRUE,"BUREAU OF ALCOHOL, TOBACCO AND FIREARMS"
"BUREAU OF ALCOHOL, TOBACCO, AND FIREARMS",TRUE,TRUE,"BUREAU OF ALCOHOL, TOBACCO AND FIREARMS"
FEDERAL BUREAU OF INVESTIGATION,TRUE,TRUE,FEDERAL BUREAU OF INVESTIGATION
DEPARTMENT OF THE TREASURY,TRUE,TRUE,DEPARTMENT OF THE TREASURY
HOMELAND SECURITY,TRUE,TRUE,DEPARTMENT OF HOMELAND SECURITY
